loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,term_int,grade_int,emp_length_int,home_ownership_int,verification_status_int,purpose_int,income_tax
1800,19.52,66.46,130000.0,15.49,0.0,0,4,0,0,0,0,9750.0
6800,7.97,213.0,102960.0,10.54,2.0,0,0,5,1,1,1,7722.0
18000,12.49,602.08,60000.0,27.06,0.0,0,1,1,0,0,1,0.0
17375,13.11,586.36,49000.0,11.76,0.0,0,1,7,0,1,2,0.0
14000,13.59,322.79,45000.0,14.32,0.0,1,2,7,0,1,1,0.0
35000,12.73,791.53,125000.0,31.85,0.0,1,1,9,2,1,1,9375.0
8000,12.74,268.56,35000.0,14.99,0.0,0,2,3,0,2,1,0.0
35000,17.57,880.61,170000.0,8.43,3.0,1,3,10,0,1,1,12750.0
3000,11.49,98.92,30000.0,28.92,2.0,0,1,10,0,0,3,0.0
6000,14.03,205.16,48000.0,19.92,1.0,0,2,4,0,0,1,0.0
3025,9.58,97.02,85000.0,12.09,0.0,0,1,10,0,2,1,6375.0
12875,13.67,437.98,65000.0,11.48,0.0,0,1,4,2,2,1,0.0
10800,18.55,277.5,60000.0,14.04,0.0,1,4,0,2,1,1,0.0
7000,7.89,219.0,33000.0,16.71,0.0,0,0,5,2,1,1,0.0
10000,12.62,335.12,60000.0,27.69,0.0,0,2,10,0,0,1,0.0
30000,6.99,926.18,150000.0,0.2,0.0,0,0,4,0,0,2,11250.0
24000,9.93,509.11,121620.0,1.3,0.0,1,1,6,2,1,0,9121.5
16000,14.33,375.04,88541.0,14.64,0.0,1,2,8,0,1,1,6640.575
16000,6.97,493.82,180000.0,14.66,0.0,0,0,2,0,0,1,13500.0
16000,14.46,376.12,57900.0,20.64,0.0,1,2,7,2,0,1,0.0
19200,8.18,390.97,85884.0,21.15,0.0,1,1,-1,0,1,1,6441.3
4000,12.12,133.09,42000.0,7.97,0.0,0,1,3,2,1,4,0.0
10000,10.9,326.92,40000.0,25.35,0.0,0,1,10,2,1,1,0.0
17350,10.99,567.94,51900.0,12.37,0.0,0,1,10,1,1,3,0.0
1200,11.49,39.57,75000.0,14.21,0.0,0,1,1,0,1,1,5625.0
20000,9.75,422.49,85200.0,8.03,0.0,1,1,1,1,1,1,6390.0
12000,18.94,439.51,48000.0,14.3,0.0,0,3,8,2,1,3,0.0
30000,18.06,762.79,59610.0,22.94,0.0,1,3,6,0,0,3,0.0
30000,20.2,798.16,92000.0,12.21,0.0,1,3,6,0,1,1,6900.0
3000,10.08,96.92,48000.0,14.93,0.0,0,1,10,0,2,2,0.0
6000,13.67,204.11,38000.0,7.14,1.0,0,1,0,2,2,1,0.0
10000,7.24,309.87,70000.0,6.41,1.0,0,0,1,2,0,3,5250.0
3000,12.62,100.54,60000.0,27.42,0.0,0,2,0,0,0,1,0.0
11000,12.69,248.55,48000.0,17.03,0.0,1,2,4,2,2,3,0.0
12800,7.35,397.28,95000.0,18.85,1.0,0,0,2,0,2,1,7125.0
7875,6.89,242.77,80000.0,17.24,0.0,0,0,7,0,0,3,6000.0
6000,16.91,213.65,150000.0,9.99,0.0,0,2,9,2,2,1,11250.0
13825,14.99,479.19,110000.0,12.42,1.0,0,2,7,2,0,1,8250.0
3000,9.44,96.02,52000.0,13.87,0.0,0,1,2,2,0,0,0.0
8400,12.29,280.17,45000.0,26.37,1.0,0,2,10,2,2,1,0.0
20000,11.44,658.95,85000.0,25.68,0.0,0,1,2,0,0,1,6375.0
12300,19.97,325.67,40000.0,34.44,1.0,1,3,0,2,0,3,0.0
6000,10.91,196.18,60000.0,12.22,1.0,0,1,2,2,1,1,0.0
10000,5.32,301.15,53000.0,12.09,0.0,0,0,2,2,0,5,0.0
18600,11.99,617.7,90000.0,32.72,0.0,0,1,3,0,1,6,6750.0
9000,8.9,285.78,65090.0,23.64,0.0,0,0,10,0,1,3,4881.75
16000,11.44,527.16,145000.0,13.61,0.0,0,1,10,2,1,1,10875.0
12000,12.69,271.14,63000.0,26.04,0.0,1,2,0,0,0,3,0.0
6000,8.08,188.24,42000.0,15.65,0.0,0,0,4,0,0,1,0.0
10000,7.97,313.23,28000.0,2.19,0.0,0,0,3,2,1,2,0.0
10000,22.74,385.75,30000.0,16.9,0.0,0,4,6,1,2,3,0.0
24500,19.92,648.02,50000.0,32.89,0.0,1,3,0,2,1,1,0.0
6500,20.99,244.86,45000.0,15.63,0.0,0,4,5,0,2,2,0.0
14000,18.25,357.42,73000.0,31.35,1.0,1,3,10,0,0,1,5475.0
8000,11.67,264.46,63000.0,4.42,1.0,0,1,8,0,2,3,0.0
10000,10.99,327.34,148000.0,11.28,1.0,0,1,-1,1,1,2,11100.0
16400,16.55,581.04,70000.0,28.65,0.0,0,3,10,2,0,1,5250.0
15000,16.91,534.12,80000.0,8.52,0.0,0,2,0,2,2,1,6000.0
21075,19.52,552.75,60000.0,23.96,0.0,1,4,10,0,1,1,0.0
35000,7.96,1096.13,130000.0,20.59,0.0,0,0,4,1,2,3,9750.0
19350,11.53,638.37,55000.0,29.76,0.0,0,1,10,1,1,1,0.0
8650,11.39,284.8,51000.0,15.58,0.0,0,1,2,0,1,7,0.0
10000,9.67,321.13,45000.0,22.37,0.0,0,1,2,2,1,1,0.0
16000,7.84,500.21,120000.0,16.26,0.0,0,0,10,2,2,1,9000.0
6400,7.89,200.23,31200.0,17.16,2.0,0,0,1,2,2,1,0.0
16000,7.39,496.9,65000.0,9.66,0.0,0,0,-1,0,2,1,0.0
10000,22.35,383.72,21840.0,40.33,4.0,0,4,0,1,0,1,0.0
6000,18.85,219.49,65000.0,22.91,0.0,0,3,10,1,2,2,0.0
7000,10.16,226.4,70000.0,17.32,0.0,0,1,4,0,0,1,5250.0
15000,8.9,476.3,50000.0,19.01,0.0,0,0,8,2,2,1,0.0
35000,6.0,712.19,145000.0,21.16,4.0,1,2,10,1,0,1,10875.0
16000,10.72,521.71,40000.0,20.94,0.0,0,1,8,2,1,1,0.0
